,target
2835,23450
4700,28256
2445,25541
2233,27093
3050,24566
8970,19747
400,29383
5981,25008
6119,24610
13295,23257
1023,28476
3298,24510
5226,29231
8063,16252
13094,22772
9711,20107
10236,17037
11057,17015
10085,17888
8877,20079
6424,24362
4080,26240
803,26740
1550,25753
1009,28592
13371,23200
2737,24523
648,29107
11208,17130
2862,24475
4975,27764
8727,21202
9971,18124
550,29876
10063,17526
7688,19780
211,28456
11204,16908
11311,17736
9330,18878
8000,16975
3543,24625
8310,18277
1438,26629
2515,22955
2868,23989
2434,24850
4792,28762
9744,19527
8290,17565
11816,17754
1314,25646
8344,19164
