,time,Open,High,Low,Close,stock_code,ric_code,uuid,last_modified_date
1941,2019-12-06 09:00:00+08:00,26300,26538,26300,26391,HSI,^HSI,2182426814665114939,2025-06-04 01:47:50.689417+08:00
1942,2019-12-06 11:00:00+08:00,26391,26450,26383,26420,HSI,^HSI,10096996695357041978,2025-06-04 01:47:50.689417+08:00
1943,2019-12-06 13:00:00+08:00,26423,26491,26381,26485,HSI,^HSI,17917885537438645913,2025-06-04 01:47:50.689417+08:00
1944,2019-12-06 15:00:00+08:00,26487,26555,26468,26511,HSI,^HSI,10998570937641338365,2025-06-04 01:47:50.689417+08:00
1950,2019-12-09 09:00:00+08:00,26498,26664,26425,26598,HSI,^HSI,13224828689323698943,2025-06-04 01:47:50.689417+08:00
1951,2019-12-09 11:00:00+08:00,26598,26627,26492,26506,HSI,^HSI,1109089353679903845,2025-06-04 01:47:50.689417+08:00
1952,2019-12-09 13:00:00+08:00,26506,26557,26479,26548,HSI,^HSI,4798254671018574451,2025-06-04 01:47:50.689417+08:00
1953,2019-12-09 15:00:00+08:00,26548,26565,26489,26516,HSI,^HSI,4008517393730641947,2025-06-04 01:47:50.689417+08:00
1959,2019-12-10 09:00:00+08:00,26400,26573,26291,26508,HSI,^HSI,7729803784182675993,2025-06-04 01:47:50.689417+08:00
1960,2019-12-10 11:00:00+08:00,26508,26538,26490,26503,HSI,^HSI,14105553118894065123,2025-06-04 01:47:50.689417+08:00
1961,2019-12-10 13:00:00+08:00,26503,26530,26469,26486,HSI,^HSI,9794744973153748542,2025-06-04 01:47:50.689417+08:00
1962,2019-12-10 15:00:00+08:00,26485,26512,26416,26416,HSI,^HSI,12171939176047180731,2025-06-04 01:47:50.689417+08:00
